tissue,mean,std,count
Diaphragm,3.8676772281324943,1.1066030300967407,16
Heart,3.135381506648201,2.1098629455739117,60
Kidney,2.5649132060595212,2.0681391091843206,21
Lung,2.4357483340301402,2.5889245355155146,27
Skeletal Muscle,1.7762979495135705,2.5450657729795303,72
Testes,1.1777612384952685,2.4554480978225586,26
Brain,1.0597392730887931,2.674874480295428,28
Liver,-inf,,60
