tissue,"qPCR
Systemic","qPCR
Local","Luciferase
Systemic","Luciferase
Local"
Brain,3.795138888888888,2.002189381499725,-2.2018348623853217,-2.262448132780084
Diaphragm,4.855135106121683,4.2808485353573325,3.5675985225255955,2.7671267485253663
Heart,4.429901526530118,4.925936575721085,0.9490499531652355,2.5049270741656184
Kidney,3.928509905254091,2.697135892748323,,-1.9225449515905961
Liver,4.665626863589239,-inf,0.5691620510611991,0.9605925616870974
Lung,4.068376068376067,4.169515669515669,-0.8469483568075125,-1.0352697095435697
Skeletal Muscle,3.8985180580834293,2.9883288562180237,0.30161247592926316,-0.30468611276884544
Testes,3.4294532627865952,1.997777777777777,-1.136150234741784,-2.441019561351512
