serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
AAV4,6.692307692307693,0.1220657276995284,2.7501625135427945,0.9038259835005245,1.0,1.0,1.0,Systemic
AAV6,3.807692307692307,-0.1596244131455401,1.427302275189599,,2.0,,2.0,Systemic
AAV9,3.923076923076922,-0.4037558685446012,1.3269772481040083,,3.0,,3.0,Systemic
AAV8,5.0,-2.281690140845071,0.6309859154929576,,4.0,,4.0,Systemic
AAV7,3.538461538461537,-1.511737089201879,0.5083423618634874,,5.0,,5.0,Systemic
AAV1,3.692307692307692,,,,,,,Systemic
AAV2,3.230769230769229,,,,,,,Systemic
AAV3,2.076923076923074,,,,,,,Systemic
AAV5,4.653846153846152,,,,,,,Systemic
