serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
AAV9,2.48,1.86,2.108,2.147743001385408,1.0,1.0,1.0,Systemic
AAV7,2.87,0.0,1.1480000000000001,0.0,2.0,5.5,2.0,Systemic
AAV5,2.4,0.0,0.96,0.0,3.0,5.5,3.0,Systemic
AAV6,2.32,0.0,0.9279999999999999,0.0,4.5,5.5,4.5,Systemic
AAV8,2.32,0.0,0.9279999999999999,0.0,4.5,5.5,4.5,Systemic
AAV2,2.12,0.0,0.8480000000000001,0.0,6.0,5.5,6.0,Systemic
AAV4,2.08,0.0,0.8320000000000001,0.0,7.0,5.5,7.0,Systemic
AAV1,1.68,0.0,0.672,0.0,8.0,5.5,8.0,Systemic
AAV3,1.6,0.0,0.6400000000000001,0.0,9.0,5.5,9.0,Systemic
