Tissue,Serotype,Route,qPCR_Score,Luciferase_Score,Expression_Efficiency
Brain,AAV5,Local,1.290640394088668,-2.356846473029046,-1.8261062367362486
Brain,AAV6,Local,2.374384236453201,-2.273858921161827,-0.9576625746801889
Brain,AAV7,Local,1.822660098522167,-1.90041493775934,-1.0426600874733678
Brain,AAV8,Systemic,4.1640625,-2.513761467889909,-0.6036800523262821
Brain,AAV8,Local,2.25615763546798,-2.564315352697095,-1.1365851890775336
Brain,AAV9,Systemic,4.75,-1.889908256880734,-0.39787542250120717
Brain,AAV9,Local,2.591133004926109,-1.692946058091287,-0.6533613113926449
Testes,AAV2,Local,2.199999999999999,-2.547717842323652,-1.1580535646925698
Testes,AAV3,Local,2.339999999999999,-2.199170124481328,-0.9398162925133884
Testes,AAV4,Local,2.32,-2.49792531120332,-1.0766919444841898
Testes,AAV5,Local,1.459999999999999,-2.547717842323652,-1.745012220769626
Testes,AAV6,Local,1.919999999999999,-2.49792531120332,-1.3010027662517298
Testes,AAV7,Local,1.74,-2.248962655601661,-1.292507273334288
Testes,AAV8,Local,1.9,-2.547717842323652,-1.3409041275387643
Testes,AAV9,Systemic,3.698412698412698,-1.136150234741784,-0.30719941969413045
Diaphragm,AAV9,Systemic,4.70127920945239,3.257564301882889,0.6929101967254426
Diaphragm,AAV9,Local,2.868327880732731,1.225779043244788,0.42734969439116405
Diaphragm,AAVMYO,Systemic,5.220191767515121,3.541103565386536,0.6783474100362691
Diaphragm,AAVMYO,Local,4.220510398844094,3.407924229578638,0.8074673220831287
Diaphragm,MYOAAV2A,Systemic,4.784825260902465,2.756961951313706,0.576188638243754
Diaphragm,MYOAAV2A,Local,5.179533673089098,3.23576326415139,0.6247209630015911
Diaphragm,MYOAAV4A,Systemic,4.714244186616756,4.714764271519251,1.0001103220117389
Diaphragm,MYOAAV4A,Local,4.855022188763405,3.19904045712665,0.658913663573072
