serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
AAV6,6.486301369863012,3.9198479798692083,4.94642933586673,5.042352161588916,1.0,1.0,1.0,Local
AAV9,5.493150684931507,2.9392142162575436,3.9607888037271293,4.01815213564588,2.0,2.0,2.0,Local
AAV2,5.739726027397261,2.698951150171839,3.9152611010620078,3.935891279407382,3.0,3.0,3.0,Local
AAV1,5.164383561643835,2.377689858149184,3.4923673395470445,3.5041835594204973,4.0,4.0,4.0,Local
AAV8,4.95890410958904,2.4683006851297886,3.4645420549134887,3.49858062808213,5.0,5.0,5.0,Local
AAV7,4.897260273972602,2.2586494852247996,3.3140938007239207,3.3258373978323235,6.0,6.0,6.0,Local
AAV4,4.691780821917807,2.106792657308917,3.140787923152473,3.1439798640130046,7.0,7.0,7.0,Local
AAV3,3.575342465753424,1.344235037374089,2.236678008725823,2.192282056004022,8.0,8.0,8.0,Local
AAV5,3.315068493150684,1.1653664293826402,2.025247254889858,1.965520168561468,9.0,9.0,9.0,Local
