serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
MYOAAV4A,4.714244186616756,4.714764271519251,4.714556237558253,4.714504221896298,1.0,1.0,1.0,Systemic
AAVMYO,5.220191767515121,3.541103565386536,4.21273884623797,4.299446438781303,2.0,2.0,2.0,Systemic
AAV9,4.70127920945239,3.257564301882889,3.8350502649106892,3.913402525411399,3.0,3.0,3.0,Systemic
MYOAAV2A,4.784825260902465,2.756961951313706,3.5681072751492096,3.6320216392517226,4.0,4.0,4.0,Systemic
